Tamanho;Cenario;Algoritmo;Dado;Media;DesvioPadrao;Minimo;Maximo;Mediana;CV;IC95_Superior;IC95_Inferior
1000;Aleatorio;ShellSort;ACESSOS;45867.27;1727.09;42668.00;50037.00;45673.50;3.77;46485.30;45249.23
1000;Aleatorio;ShellSort;PROF_REC;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1000;Aleatorio;ShellSort;TEMPO;369013.33;25174.12;333400.00;435000.00;360200.00;6.82;378021.78;360004.89
1000;Aleatorio;ShellSort;MEM_AUX;20.00;0.00;20.00;20.00;20.00;0.00;20.00;20.00
1000;Ordenado;BubbleSort;COMPARACOES;999.00;0.00;999.00;999.00;999.00;0.00;999.00;999.00
1000;Ordenado;BubbleSort;TROCAS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1000;Ordenado;BubbleSort;ACESSOS;1998.00;0.00;1998.00;1998.00;1998.00;0.00;1998.00;1998.00
1000;Ordenado;BubbleSort;PROF_REC;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1000;Ordenado;BubbleSort;TEMPO;13660.00;241.55;13500.00;14900.00;13600.00;1.77;13746.44;13573.56
1000;Ordenado;BubbleSort;MEM_AUX;17.00;0.00;17.00;17.00;17.00;0.00;17.00;17.00
1000;Ordenado;InsertionSort;COMPARACOES;999.00;0.00;999.00;999.00;999.00;0.00;999.00;999.00
1000;Ordenado;InsertionSort;TROCAS;999.00;0.00;999.00;999.00;999.00;0.00;999.00;999.00
1000;Ordenado;InsertionSort;ACESSOS;2997.00;0.00;2997.00;2997.00;2997.00;0.00;2997.00;2997.00
1000;Ordenado;InsertionSort;PROF_REC;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1000;Ordenado;InsertionSort;TEMPO;22790.00;84.49;22700.00;23100.00;22800.00;0.37;22820.23;22759.77
1000;Ordenado;InsertionSort;MEM_AUX;16.00;0.00;16.00;16.00;16.00;0.00;16.00;16.00
1000;Ordenado;SelectionSort;COMPARACOES;499500.00;0.00;499500.00;499500.00;499500.00;0.00;499500.00;499500.00
1000;Ordenado;SelectionSort;TROCAS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1000;Ordenado;SelectionSort;ACESSOS;999000.00;0.00;999000.00;999000.00;999000.00;0.00;999000.00;999000.00
1000;Ordenado;SelectionSort;PROF_REC;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1000;Ordenado;SelectionSort;TEMPO;6760366.67;241701.63;6527000.00;7742900.00;6722800.00;3.58;6846858.48;6673874.85
1000;Ordenado;SelectionSort;MEM_AUX;20.00;0.00;20.00;20.00;20.00;0.00;20.00;20.00
1000;Ordenado;MergeSort;COMPARACOES;5044.00;0.00;5044.00;5044.00;5044.00;0.00;5044.00;5044.00
1000;Ordenado;MergeSort;TROCAS;19952.00;0.00;19952.00;19952.00;19952.00;0.00;19952.00;19952.00
1000;Ordenado;MergeSort;ACESSOS;49992.00;0.00;49992.00;49992.00;49992.00;0.00;49992.00;49992.00
1000;Ordenado;MergeSort;PROF_REC;9.00;0.00;9.00;9.00;9.00;0.00;9.00;9.00
1000;Ordenado;MergeSort;TEMPO;374516.67;30852.34;348100.00;469400.00;359300.00;8.24;385557.04;363476.30
1000;Ordenado;MergeSort;MEM_AUX;4144.00;0.00;4144.00;4144.00;4144.00;0.00;4144.00;4144.00
1000;Ordenado;QuickSort;COMPARACOES;499500.00;0.00;499500.00;499500.00;499500.00;0.00;499500.00;499500.00
1000;Ordenado;QuickSort;TROCAS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1000;Ordenado;QuickSort;ACESSOS;500499.00;0.00;500499.00;500499.00;500499.00;0.00;500499.00;500499.00
1000;Ordenado;QuickSort;PROF_REC;998.00;0.00;998.00;998.00;998.00;0.00;998.00;998.00
1000;Ordenado;QuickSort;TEMPO;4530053.33;132027.28;4329200.00;4849000.00;4512800.00;2.91;4577298.69;4482807.98
1000;Ordenado;QuickSort;MEM_AUX;15968.00;0.00;15968.00;15968.00;15968.00;0.00;15968.00;15968.00
1000;Ordenado;QuickSortRandomizado;COMPARACOES;11029.20;659.48;10117.00;13030.00;11012.50;5.98;11265.19;10793.21
1000;Ordenado;QuickSortRandomizado;TROCAS;996.00;16.82;946.00;1030.00;999.00;1.69;1002.02;989.98
1000;Ordenado;QuickSortRandomizado;ACESSOS;15678.70;672.68;14759.00;17725.00;15656.50;4.29;15919.42;15437.98
1000;Ordenado;QuickSortRandomizado;PROF_REC;19.80;1.71;17.00;26.00;20.00;8.64;20.41;19.19
1000;Ordenado;QuickSortRandomizado;TEMPO;170820.00;16527.89;153800.00;220900.00;165550.00;9.68;176734.43;164905.57
1000;Ordenado;QuickSortRandomizado;MEM_AUX;396.00;34.20;340.00;520.00;400.00;8.64;408.24;383.76
1000;Ordenado;HeapSort;COMPARACOES;17583.00;0.00;17583.00;17583.00;17583.00;0.00;17583.00;17583.00
1000;Ordenado;HeapSort;TROCAS;9708.00;0.00;9708.00;9708.00;9708.00;0.00;9708.00;9708.00
1000;Ordenado;HeapSort;ACESSOS;73998.00;0.00;73998.00;73998.00;73998.00;0.00;73998.00;73998.00
1000;Ordenado;HeapSort;PROF_REC;9.00;0.00;9.00;9.00;9.00;0.00;9.00;9.00
1000;Ordenado;HeapSort;TEMPO;457873.33;16843.99;436700.00;511700.00;455800.00;3.68;463900.88;451845.79
1000;Ordenado;HeapSort;MEM_AUX;144.00;0.00;144.00;144.00;144.00;0.00;144.00;144.00
1000;Ordenado;ShellSort;COMPARACOES;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1000;Ordenado;ShellSort;TROCAS;5457.00;0.00;5457.00;5457.00;5457.00;0.00;5457.00;5457.00
1000;Ordenado;ShellSort;ACESSOS;10914.00;0.00;10914.00;10914.00;10914.00;0.00;10914.00;10914.00
1000;Ordenado;ShellSort;PROF_REC;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1000;Ordenado;ShellSort;TEMPO;114016.67;5105.38;110500.00;129500.00;113800.00;4.48;115843.60;112189.73
1000;Ordenado;ShellSort;MEM_AUX;20.00;0.00;20.00;20.00;20.00;0.00;20.00;20.00
1000;Reverso;BubbleSort;COMPARACOES;499500.00;0.00;499500.00;499500.00;499500.00;0.00;499500.00;499500.00
1000;Reverso;BubbleSort;TROCAS;499500.00;0.00;499500.00;499500.00;499500.00;0.00;499500.00;499500.00
1000;Reverso;BubbleSort;ACESSOS;2997000.00;0.00;2997000.00;2997000.00;2997000.00;0.00;2997000.00;2997000.00
1000;Reverso;BubbleSort;PROF_REC;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1000;Reverso;BubbleSort;TEMPO;14666506.67;1895594.88;13743600.00;24294800.00;14325850.00;12.92;15344836.58;13988176.75
1000;Reverso;BubbleSort;MEM_AUX;17.00;0.00;17.00;17.00;17.00;0.00;17.00;17.00
1000;Reverso;InsertionSort;COMPARACOES;998001.00;0.00;998001.00;998001.00;998001.00;0.00;998001.00;998001.00
1000;Reverso;InsertionSort;TROCAS;500499.00;0.00;500499.00;500499.00;500499.00;0.00;500499.00;500499.00
1000;Reverso;InsertionSort;ACESSOS;1998999.00;0.00;1998999.00;1998999.00;1998999.00;0.00;1998999.00;1998999.00
1000;Reverso;InsertionSort;PROF_REC;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1000;Reverso;InsertionSort;TEMPO;10619390.00;137182.04;10448300.00;10945400.00;10581100.00;1.29;10668479.96;10570300.04
1000;Reverso;InsertionSort;MEM_AUX;16.00;0.00;16.00;16.00;16.00;0.00;16.00;16.00
1000;Reverso;SelectionSort;COMPARACOES;499500.00;0.00;499500.00;499500.00;499500.00;0.00;499500.00;499500.00
1000;Reverso;SelectionSort;TROCAS;500.00;0.00;500.00;500.00;500.00;0.00;500.00;500.00
1000;Reverso;SelectionSort;ACESSOS;1001000.00;0.00;1001000.00;1001000.00;1001000.00;0.00;1001000.00;1001000.00
1000;Reverso;SelectionSort;PROF_REC;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1000;Reverso;SelectionSort;TEMPO;6695093.33;428054.28;6367200.00;8645100.00;6579350.00;6.39;6848270.59;6541916.08
1000;Reverso;SelectionSort;MEM_AUX;20.00;0.00;20.00;20.00;20.00;0.00;20.00;20.00
1000;Reverso;MergeSort;COMPARACOES;4932.00;0.00;4932.00;4932.00;4932.00;0.00;4932.00;4932.00
1000;Reverso;MergeSort;TROCAS;19952.00;0.00;19952.00;19952.00;19952.00;0.00;19952.00;19952.00
1000;Reverso;MergeSort;ACESSOS;49768.00;0.00;49768.00;49768.00;49768.00;0.00;49768.00;49768.00
1000;Reverso;MergeSort;PROF_REC;9.00;0.00;9.00;9.00;9.00;0.00;9.00;9.00
1000;Reverso;MergeSort;TEMPO;348073.33;18116.16;336300.00;433500.00;346150.00;5.20;354556.12;341590.55
1000;Reverso;MergeSort;MEM_AUX;4144.00;0.00;4144.00;4144.00;4144.00;0.00;4144.00;4144.00
1000;Reverso;QuickSort;COMPARACOES;499500.00;0.00;499500.00;499500.00;499500.00;0.00;499500.00;499500.00
1000;Reverso;QuickSort;TROCAS;500.00;0.00;500.00;500.00;500.00;0.00;500.00;500.00
1000;Reverso;QuickSort;ACESSOS;502499.00;0.00;502499.00;502499.00;502499.00;0.00;502499.00;502499.00
1000;Reverso;QuickSort;PROF_REC;998.00;0.00;998.00;998.00;998.00;0.00;998.00;998.00
1000;Reverso;QuickSort;TEMPO;4227966.67;229884.87;4039200.00;5155700.00;4172200.00;5.44;4310229.91;4145703.42
1000;Reverso;QuickSort;MEM_AUX;15968.00;0.00;15968.00;15968.00;15968.00;0.00;15968.00;15968.00
1000;Reverso;QuickSortRandomizado;COMPARACOES;10989.17;618.53;10021.00;12226.00;10933.50;5.63;11210.51;10767.83
1000;Reverso;QuickSortRandomizado;TROCAS;4756.40;686.90;3754.00;6272.00;4592.00;14.44;5002.20;4510.60
1000;Reverso;QuickSortRandomizado;ACESSOS;30683.37;3176.90;26728.00;37961.00;29853.00;10.35;31820.21;29546.53
1000;Reverso;QuickSortRandomizado;PROF_REC;20.23;2.01;17.00;26.00;20.00;9.94;20.95;19.51
